cakavski,stokavski
dati kontru,naglo povući najlon
daž,kiša
daži,pada kiša
dažjeni,"kišni, kišoviti"
debula,slabašna
deca,djeca
dečica,dječica
dečina,dječurlija
ded,djed
deklamirat,recitirati
del,dio
delat,raditi
delavci,radnici
delidba,"dijeljenje, razdioba"
depožit,"spremište, rezervar"
"derić, derik","dizalo, dizalica, vitlo, pomoćni jarbol"
dešperija,"bez nade, beznađe"
dešpet,"nepravda, prkos, inat, zloba, neugodnost"
"dešpetivac, dešpetljivac","zlobnik, onaj koji čini nepravdu"
deštard,"tvrdoglav, svojeglav"
deštin,sudbina
dešturb,uznemirenost
detečji,dječji
devica,"sluškinja, kućna pomoćnica"
dežbrigat,osloboditi se brige
dica,djeca
dignut,podići
diguje,dizati
dih,miris
dihat,disati
dindona,ljulja
diraka,"draž, glog"
dišeće,mirisno
dišeće,mirisno
dišel,mirisati
dišenjat,"zacrtati, crtati"
diši,miriše
diškorš,razgovor
dišperana,"tužna, razočarana, žalosna"
dišpet,"inat, nestašluk"
dišpijacer,učiniti na žao
distancat se,udaljiti se
dite,dijete
diva detelina,divlja djetelina
diva koza,divokoza
divan,"vrsta sofe, otoman"
divi,divlji
divi prasac,"divlja svinja, vepar"
divojčice,djevojčice
divojka,djevojka
dobit del,dobiti batina
dodelat,doraditi
dogajat se,događati se
dohaja,dolazi
domislet se,"sjetiti se, dosjetiti se"
domišljat se,"sjećati se, sjetiti se"
doplavat,doplivati
dota,miraz
dotuda,otuda
dovde,odande
drago,"milo, radosno, me veseli (dobra vijest)"
drago,skupo - cijena
drenjuli,"drenjine, plodovi drena"
drevo,"drvo, stablo"
drito,ravno
dritura,"ravnica, ravnina"
drmavčići,visibabe
drob,"trbuh, jetra"
drobit,lomiti
drobnica,vrsta masline
drobno,"sitno, maleno"
dropini,drop
drsat,klizati
dršć,"vrsta ptice, slične drozdu"
drugde,drugdje
drugoška,"nekada, davno"
držat,držati
dohtor,doktor
dohtor,liječnik
duperat,"rabiti, upotrebljavati"
dupjak,boca od dvije litre
duplica,boca od dvije litre (najčešće se misli na vinsku)
durada,trajnost
durat,trajati
dvajset,dvadeset
dvor,nastamba za stoku kamenih zidova i slamnatog krova
dvorci,vile
e,hej
engleški,engleski
fabrika,tvornica
facol,marama
facolić,maramica
fadigat,obrađivati zemlju
fagot,"veći zamotuljak, zavežljaj"
fagotić,mali zamotuljak
fakin,"deran, mangup"
fal,greška
fala,hvala
falas,"pokvaren, dvoličan"
falil,nedostajao
fameja,obitelj
familja,obitelj
fanj,"prilično, dosta"
fanjski,"krupan, može i vrijedan"
fantina,dječak
farbuk,"kanta sa drškom ,služi za pravljenje buke i tjeranje ribe u mrežu"
farmacija,ljekarna
farmentun,kukuruz
faš,"zavoj, povoj"
faša,vrpca
fašica,kopča
fatigat,truditi se
fatorija,"krojačnica, tvornica gdje se šiva odjeća"
fažol,grah
febra,vrućica
feral,"lampa, svjetiljka, fenjer"
fermalo,"stalo, stoji"
fermat,"stati, zaustaviti se"
fešta,veselje
feštat,proslaviti
feštat,slaviti
feta,"kriška, odrezak"
fianona,plomin
fibija,"ukosnica, kopča"
fičić,zviždaljka (Kastavština)
fijok,mašna
fijok,mašna
fijolica,ljubičica
fijonda,praćka
Fijumera,Rječina. (na Fijumeri - uz Rječinu Mrtvi kanal)
fila,red
finit,"završiti, svršiti"
finjeno,gotovo
fišćet,zviždaljka
fišpanj,žica od kišobrana (Kastavština)
flajda,radna kuta
fleka,mrlja
flok,"vrsta jedra, malo trokutasto jedro"
foji,novine
foran,pećnica
forca,snaga
forno,pećnica
fortica,"utvrda ( Z jedne strane bila je fortica Sršćica, a z druge kula Frankopanska, na ulazu u Bakarski zaljev )"
fortunal,naglo nevrijeme na moru uz vjetar i valove
frajar,"udvarač, dečko u ozbiljnoj vezi"
frajat,"gostiti se, častiti"
