cakavski,stokavski
najhuji,najgori
najprvo,najprije
najšesneje,najbolje
najštimanije,"najugledniji, najcjenjeniji"
najuštat,točno namjestiti
nakjepat,klepanjem naoštriti kosu
nakraman,pripit
namenit,namijeniti
nametit,naložiti vatru
namisal,"na pameti, u mislima"
namisle,na pameti
namisliti,naumiti
namočit,uroniti u vodu
namoran,zaljubljen
namorevat,zaljubiti se
namržjen,naboran
namutit,"namamiti, smutiti"
nanke,niti
nanke ne abada,niti ne primjećuje
napiturana,našminkana
napožan,"specijalan, napravljen upravo za to"
napurena,uvrijeđena
naricana,kovrčave kose
narisati,nacrtati
naručaj,na rukama nositi
naškoditi,nanjeti štetu
nasliša,sluša
naslišat,slušati
nasmet se,nasmijati se
natirat,natjerati
navada,"običaj, navika"
navaditi,naučiti
navagat,polako veslati
navajan,naučen
navigat,"ploviti, obično po moru"
"navrez, navrest, navrezen","nataknuti na konac, nataknut, uvući konac u iglu"
navrnut,svratiti
ne przni,ne lupetaj
nebog,jadan
neboto,skoro
neč,nešto
nedeja,nedjelja
negdere,negdje
nekadanje,nekadašnje
nekega,nekog
neki,netko
nekin,nekim
nem,lud
nemotarit,"veseliti se, zabavljati se, otkačiti se"
"neš, neč",nešto
nesakidanje,"nije dnevno, nesvakidašnje"
nesan,nisam
nevera,"nevrijeme na moru, oluja"
nevesta,nevjesta
nevoja,"nevolja, jad"
ni mi lazno,nemam vremena
ni se šlo va ocat,nije sve propalo
"nič, niš",ništa
ničesa,ničeg
nido,gnjezdo
nigdere,nigdje
nikamor,nikuda
niki,nitko
nisan,nisam
njazlo,gnjezdo
njigov,njegov
njihovi,od sviju
njiji,njezin
njoki,okruglice od krumpira i brašna
njurgat,prigovarati
nona,baka
nono,djed
nopak,naopako
noštromo,vođa palube
nukla,ostatak poslije istiskivanja ulja
nukla,ostatak poslije istiskivanja ulja
"obač, obić","pogledati, posjetiti"
obahajat,obilaziti
obastat,opstati
obazret,osvrnuti se
obećat,obećati
"obed, obedvat","objed, ručak, ručati"
obesit,objesit
oblica,vrsta masline
obogatet se,obogatiti se
obrnjat,okretati
obrnut,okrenuti
"obrubjin, obrubjen",obrubljen
obzirat se,okretati
oćali,naočale
očišćeno,nešto čisto
oćutit,osjetiti
ocvirki,čvarci
odalečiti se,udaljiti se
odelat,odraditi
odelit,razdvojiti
oderat,oguliti
odmahevat,odmahivati
"oficjal, ofičjal",časnik
"ofindit se, ofendit se",uvrijediti se
oganj,vatra
ognjišće,ognjište
okole,"naokolo, uokolo"
okruti,"posuđe, bačve i sl."
olahne,olakša
olita,crijeva
olt,"dječja igra, oduzmi manje teritorija"
onput,"onda, onomad"
opaćevina,vrsta bijelog grožđa
opanki,opanci
"opeda, opeta",opet
opiranje,otvaranje
opleteno,počešljano
oplin,dio zaprežnih kola
"oprćin, oprćen","natovaren, opterećen"
orada,"morska riba, komorča, podlanica"
ordinat,"narediti, naručiti"
orebac,vrabac
orebica,jarebica
oreh,orah
orelijeva,blagdan svetog Aurelija
organić,usna harmonika
oslak,magarčić
ostak,vrsta korova
ostal,ostao
oštarija,gostiona
oštija,uzvik iznenađenja
ostrgat,ostrugati
oštrigeca,uzvik čuđenja
ostruga,kupina
ostružnica,plod kupine
otakat,"otakati, pretakati vino"
otari,obriši
otavić,čašica
otet,htjeti
othitit,odbaciti
otpravit (se),"otpraviti se, otpremiti se, otputiti se"
otpret,otvoriti
otprto,otvoreno
otročice,djevojčice
"otrok, otročić",dijete
otrt,obrisati
ov,ovaj
ovčevina,"ovčetina, ovčje meso"
ozviranje,žudnja
ozvirat se,žudjeti
pačat,uplitati se
pačit,smetati
padela,zdjela
padela,plića posuda u kojoj se kuha
paezan,sumještanin
pagar,morska riba slična zubacu
paj,za tzv. zaimaču (Kastavština)
pajak,zaimača
pajol,podnica na dnu barke ili broda
pal,telefonski ili električni stup
palandera,"mreža u kojoj se love palamide, zubac i sl."
palenta,"kukuruzna hrana, kaša, žganci"
palentar,mala deblja kuhača za mješanje palente
palica,štap
paličon,"deblji štap, obično se misli na okresane grane za loženje"
palingar,parangal
pametit,pamtiti
pamidor,rajčica
panada,juha s ukuhanim kruhom
panaric,akutna gnojna upala prsta ruke
panatika,"hrana, namirnice na brodu za duže vrijeme"
pandul,tanko uže sa utegom koje se baca s broda na rivu
panin,"okruglasti hljepčić, od bijelog brašna."
pantigana,štakor
panula,način ribolova u pokretu
papafig,u pomorstvu vrsta jedra
papagalo,papagaj
papalina,sitna morska riba slična srdeli
para se,činiti se
parapet,"kamena ograda, zidić"
pared,pregradni zid
parićan,spremljen
parićano,pripremljeno
parićat,pripremiti
parićat,spremiti
parići,vesla
paroket,u pomorstvu vrsta jedra
partit,"ići na put, krenuti"
paruka,vlasulja
pasa,prođe
pasa,prođe
pašabrod,cjedilo
pasal,prošao
pasalo,prošlo
pasano,prošlo
pasareta,vrsta bezalkoholnog pića za vrijeme Italije
pasat,proći
pasat,ići
pasići,psići
pašta,tjestenina
paštašuta,špageti s gulašem
paštica,sitna tjestenina
"patana,","batana, vrsta barke"
pečanja,svinjsko meso
pegula,"baksuz, nesreća"
pejala,vodila
pejat se,voziti se
pekjar,prosjak
pekjat,"prositi, prosjačiti"
peknica,pekara
pena,pjena
perača,drvena daska sa ručkom - kod ispiranja robe
peran,dio zaprežnih kola
peša,"vrsta repe, obično se daje stoci"
pesak,"pijesak, pješžana plaža, žal"
pešćaci,kamenčići
pešće,pijesak
pešekan,morski pas
peškafondo,"varalica, skosavica za lov liganja"
peškarija,ribarnica
peškat,"imati gaz, npr. brod je peškal 4 m"
pest,šaka
peštador,daska za rezanje u kuhinji
peštarol,daska za rezanje u kuhinji
peštat,"lupati, može i lupetati, govoriti iskrivljeno"
peteh,"pijetao, kokot"
petrojo,petrolej
peza,"vaga, težina, teret"
pezomorto,mrtvi vez za brodice.
picat,"bosti, ubadati, podbadati"
picikanoride,"igra draganja, dok jednom zavežu povez na oči drugi ga dragaju a on pogađa tko je"
pijat,tanjur
piježa,sviđa
pikabit,sobni ormar
pikjača,vrsta trešnje
pikjat,šiljiti
pinčica,dugoljasti hljepčić.
pinel,kist
pinel,kist
pinelat,bojiti
pinka,štruca kruha.
pipa,lula
pirun,viljuška
pišćenci,pilići
pišmoj,"pišmolj, morska riba slična osliću"
pištola,pištolj
pitur,soboslikar
pitura,"boja, bojiti"
piturana,našminkana
pjombadura,u pomorstvu upletak od konopa
pjombo,olovo
pjoski,"kamene pločice, dječja igra ""Školice"""
placa,trg
plašćenica,vunena traka dugačka par metara za nositi teret
platurina,dio tijesta kod prešanja maslina
plavat,plivati
plavica,vrsta masline
plavuće,"plivajuće, plutajuće"
plečić,krpena vezica
pleter,osnova pregradnog zida od pletnog šiblja na koju dolazi žbuka
pletilo,pletivo
pleva,pljeva
plovan,svečenik
poč,pošto
poć,ići
počinut,odmoriti
počivalo,mjesto odmora
pod,ispod
pod,tlo
podabrat,skinuti donje listove
poderali,pokidali
podnetit,naložiti vatru
podrsnut se,poskliznuti se
pofašana,"umotana, povoj"
pofašat,zaviti ranu - dječji povoj
pofrajat,"prorajtati, potrošiti uludo."
pohincevajuć,poskakujući
pohincevat,poskakivati
poji,pojede
pojil,pojeo
pojist,pojesti
pokarat,posvaditi se
pokle,"poslije, kasnije"
polovnik,mjera za količinu masline
pomivat,prati suđe
pomulat,popustiti
pomulevat,"popuštati, olabaviti"
poneštra,prozor
poneštra,prozor
poneštrica,prozorčić
ponjava,pokrivač
popel,pepeo
portun,ulazna vrata
pošajen,pošaljem
pošpijat,pogledati poskrivečki
posteja,krevet
postelja,krevet
postilja,krevet
poštivano,složeno
postoli,cipele
pot,lonac
pot,znoj
potići,lončići - posuđe
potna,znojna
povedat,"govoriti, reći"
povedat,"pričat, ispričat"
pozabit,zaboraviti
pozabit,zaboraviti
poždolu,nizbrdo
prasac,svinja
prasac,svinja
prašit,ići brzo
pravit,reći
pravit,ispričati
praz,ovan
prehićevat,prebacivati
prehitit,prebaciti
preprost,priglup
prestrašen,uplašen
pride,dođe
prignjeno,sagnuto
prignjevat,saginjati se
prignut,sagnuti se
prihajat,"dolaziti, stizati"
pripejat,dovesti
priša,žurba
prišal,došao
prit,doći
prkat,svinjac
prkatić,nastamba za domaće životinje
prneševat,donositi
prnest,donjeti
probuć,presvući
probučevat,presvlačiti
promenilo,izmjenilo
promenit,promjeniti
pršona,osoba
prsura,tava
pršut,šunka
prti,penje
pržun,zatvor
puči,pukotine
pul,pokraj
pulpit,propovjedaonica
purga,sredstvo za probavu
putac,"gumb (kao za lift i slično, ne na odjeći) (Kastavština)"
rabi,treba
rabi,treba
rabi storit,treba napraviti
rabit,upotrebljavati
rabota,radna akcija
raćin,naušnica
rad,rado
raglu,gumena varalica u obliku ribice
rahjat,"rahliti, najčešće zemlju nakon kopanja"
rajalo,rađalo
rakala,drvena motka
ram,bakar
rameni,bakreni
ramenica,naramenica
ramina,"peka, željezna posuda za pečenje kruha"
rančizica,zumbul
raneje,ranije
rapala,umjetna ribica za lov liganja
rašan,mjera za količinu maslina
rashićevat,bacati
rašji,rašlje
raskašetat,nastaniti
rašpa,turpija za drvo
raspelo,križ s raspetim Isusom
raspodelit,raspodjeliti
rasprtit se,skinuti teret sa sebe
raspust,dio zaprežnih kola
rastepst se,razići se po svijetu
razbekarit,rezati meso (raskomadati)
ražentat,isprati
razjadil,razljutio
razjadit se,naljutiti se
razma,drveni rukohvat
razumet,razumjeti
re,ide
rećini,naušnice
"red, rednja",nasljednik i nasljednica imanja
redić,"red trsja, vinove loze"
reditat,naslijediti
ređipet,grudnjak
refat se,"oporaviti se, nadomjestiti (osloboditi se duga- (refal se duga)"
reful,"nalet, udar vjetra"
regal,poklon
regalat,pokloniti
regulat,srediti
regule,pravila
reja,rjeđa
rejčica,svinjsko salo koje služi za mazanje težačkih ruka
reloj,džepni sat
remont,perjodični pregled
rendit,isplativo
rešpekt,respekt
rešpetaj,poštuj
retko,rijetko
režentat,isprati
ribarija,ribolov
ribati,strugati
ribić,veliki vodenjak
"Ričan, Rečan","( Recan, Bakar) - Riječanin (Oj Recani, mila braćo na sa!)"
"Ričanka, Rečanka,","(Recanka, Bakar) - Riječanka"
rici,kovrče
Ričina,ili Rečina - naziv za Rječinu
ricvard,obzir
riđipet,grudnjak
riga,crta
rikamat,vesti - ručni rad
rikuperat se,izlječiti se
risati,crtati
riva,talijansko ime za KRAJ
riva,gura
riva,pristanište za brodove
rivat,gurati
roba,platno - odjeća
rodul,valjak
rogi,rogovi
rojen,rođen
rojendan,rođendan
Roma,Rim
rovinat,uništiti
rozga,grana trsa
rožica,cvijet
rožice,cvijeće
rožje,"odrezani, suhi trsovi grančice"
rub,ivica
ruj,vrsta drveta
rušačić,mala naprtnjača
rušnja,"jutarnji obrok, doručak"
rušpid,gruf
ruzina,rđa
s kin,s kime
saja,čađa (područje Kraljevice)
sajla,čelično uže
sakakov,svakakav
sakamo,svugdje
sakemu,svakome
saken,u svakome
saki,svaki
saki ki pasa,svaki prolaznik
sako malo,svako toliko
sakrabojska,izuzetna u pozitivnom smislu
sakramenska,izuzetna u negativnom smislu
salam,salamov
salica,hodnik
salpat,izvući mrežu ili nešto drugo iz mora
salsa,umak od rajčice
samanj,sajam
samina,"samoća,usamljenost,izoliranost"
san,biti
san paral,sam mislio
sase,siše
se,sve
seć,sjeći
sedet,sjediti
sega,svega
seh,sviju
seka,"sika,morsko dno bogato kamenjem,pličina,morski greben"
seme,sjeme
semo,ovamo
"semoje, semonje",doći bliže
senjal,znak
sest,sjesti
si,svi
sić,kanta za vodu
sin,svima
sin si lep,svima si lijep
skaline,stepenice
skancija,drvena polica za suđe
"skodić, skod",ispred ulaza u kuću
skonbusolan,dezorijentiran (područje Opatije)
skopat,iskopati
skos,"trzanj, najveci napor"
skrb,briga
skriši,krisom
skupa,zajedno
skust,čupati
skužat,oprostiti
slabo,nije najbolje
slamnica,slamarica
sled,malo
sliva,šljiva
smekujići,plodovi smreke
smirun,"stalno, cijelo vrijeme, neprestano"
smolarit,skupljati smolu
smreka,"obična borovica,šmrika"
sneg,snijeg
snetit,naložiti vatru
snetit,učiniti
snovači,drvene grede-razvlačiti pređu za tkanje
soldat,vojnik
soldi,novci
somelier,poznavalac vina-vinski znalac
spamećevat,prisjećati se
spametit se,sjetiti se
spaši,"izleti,obilasci"
spat,spavati
spat,spavati
spezat,izvagati
spi,spava
spilit,ispiliti
spining,način ribolova
splatit se,isplatiti se
splošno,dobar apetit
spodoban,sličan
spomenut,govoriti
spominjati se,sjećati se
spomoću,pomoću
sponi,naprave koje se stavljaju životinjama na noge kako bi se sputala
sporučat,poručiti
spotit,oznojiti se
spravjat,spremati
spraznit,isprazniti
spred-spreda,ispred
sprekidat,"isprekidati,polomiti"
sprotu,ususret
spuščena,spuštena
sran,sram
srdelera,mreža za lov srdela
srećan,sretan
sršen,stršljen
stablika,stabljika
stal,stajati
stala,ustala
stan,sve seoske ovce skupljene u jedno krdo
stani se,ustani se
star,mjera za količinu maslina
stara frajla,neudata djevojka
starić,starinska mjera za volumen
stat,ustati
stavit,metnuti
staviti nastran,izbrojiti
steć,steći
steja,stelja
stenj,"stijenj,fitilj"
stenjano,označeno
steplit,"ugrijati, zagrijati"
stirati,istjerati
stišnjin,stisnut
stočit,istočiti
stomanja,potkošulja
stomanja,košulja
stopljin-stopjen,otopljen
storeno,napravljeno
storila,napravila
storit,učiniti
storit,napraviti
strašjiv,strašljiv
strel,munja
strudit se,"truditi se=umoriti se,umoran"
su,svu
"suć, sukla",skinuti
sučedit,dogoditi se
suh,suh(nije mokar) mršav
sulica,bjelouška
superba,ohola
sura,tava
sused,susjed
suseda,susjeda
suzi,suze
svaća,svatovi
svadit,svađati se
svećar,ribar koji pod svjetiljkom ferala skuplja svilu
svet,svijet
svetlo,svjetlo
sviti,haljina
svitlo,svjetlo
tabak,duhan
taj,ožiljak
taki,potpetice
takov,takav
takova,takva
takujin,novčanik
Talija,Italija
tamonje,idi dalje
tanac,ples
tancat,plesati
tancat,"plesat, plesati"
tarac,terasa
tarina,glinena zdjela
tarulj,drveni tanjur za palentu
tati,lopovi
tavaja,stolnjak
tavajol,stolnjak
"tavalun, tavalon",debela daska
tavijol,ubrus
tavola,stol
te,čaj
teć,trčati
teču,trče
tega,toga
tela,gomilano platno
teleferika,žičara
telefonat,telefonirati
televizor,televizija
televizor,TV
televizor,tv
tellin,tijelom
telo,tijelo
tendit,pokazivati razumjevanje
teplina,vrućina
teplo,toplo
teplo,toplo
tesera,dozvola
tesla,sjekira za tesanje
testament,oporuka
tić,ptičica
"tić,tičić","ptica, ptičica"
tikat,dirati
timun,volan
timunjer,kormilar
tina,bačva širokog otvora u kojoj se masti grožđe
tinj,predgradni zid
tir,"udarac, pucanj, hitac"
tira,tjera
tirada,odjendnom izručena količina
tirada,paljba
tirat,tjerati
tišljar,"stolar, drvodjelac"
toporišće,"drška, držalo"
torkul,ručna preša za grožđe
torkula,vrsta masline
tornakamin,"zavjesa na napi, ukras"
tornica,okruglo ili četvrtasto udubljenje u kući u kojem je smješteno ognjište
tošar,radnik u uljari
tovar,magarac
tovar,magarac
tovor,količina
trabakul,"teretno, obalni jedrenjak s dva jarbola"
tradit,iznevjeriti
tramontana,"vrsta vjetra, sjeverac"
trapan,bušilica
trapula,zamka
traškuran,zanemaren
traškuranca,nemarnost
traversa,pregača
treba,potrebno je
trefit,sresti
trenini,rugančići
treska,pljuska
treviti,"pogoditi, udariti, sresti, naići na nekoga, naletiti"
trgatva,berba grožđa
trieštinka,vrsta harmonike
trinketina,ljetnjača u pomorstvu
trliš,radno odjelo
trliš,radno odijelo
trubilo,"blesav, glupan"
trubna,usna
trudan,umoran
trudan,umoran
trudna,umorna
trumbeta,truba
trupit,udariti
tubo,cijev
tuje,tuđe
tuji,tuđi
tunbin,rupa ispod ceste
turan,zvonik
turkinja,kukuruz
tuži,žali
šajeta,munja
šapćat,šaptati
šćapić,starački štap
šćipalnica,štipaljka
šćurak,"šturak, livadni ili kućni"
šegac,vrsta manje pile s drvenom drškom
šegav,"bistar, lukav, prepreden"
šegun,dugačka pila kojom pile dvoje ljudi
šenci,nametnici u kosi (uši)
šenica,pšenica
šentada,klupa
šerbet,"zadnja, nekvalitetna rakija"
šesan,zgodan
šesno,"uredno, pristojno, lijepo s ukusom"
šešula,lopatica
šetemana,tjedan
ši,da
šinjorina,gospođa
škabel,noćni ormarić
škafa,sudoper
škale,stepenice
škaline,stepenice
škapulat,spasiti
škatula,kutija
škerac,šala
škerca se,šali se
škercoz,šaljiv
škina,leđa
škoji,otoci
školan,učenik
školj,otok
škorica,amula
škrlatina,pelargonija
škuro,tamno
šla,"išla, otišla"
šoldi,novci
špageti,tjestenina
špaher,štednjak
špaleta,"meso svinje-obično sušeno, plećka"
špaline,naramenice
španjolet,cigareta
šparhet,štednjak
šparužina,grm šparuge
špašižat,šetati
špijat,"motriti potajno, viriti"
špina,slavina
športa,okrugla vreća od konoplje u kojoj se mljevene masline stavljaju pod prešu
štajon,"godišnje doba,sezona ( lov, kosidba)"
šterika,svijeća
šterna,"cisterna, spremište za kišnicu"
štimano,ponosno
štimat,cijeniti
štorija,priča
štrambo,krivo
"štumih, štumik",želudac
šufit,tavan
šugaman,ručnik
šugo,jelo od mesa
šundrat,uništiti
šušnjat,šumovi - lagani
šušur,gužva
šviče,"fijuče, zvuk vjetra (bure)"
tabak,duhan
taj,ožiljak
taki,potpetice
takov,takav
takova,takva
takujin,novčanik
Talija,Italija
tamonje,idi dalje
tanac,ples
tancat,plesati
tancat,"plesat, plesati"
tarac,terasa
tarina,glinena zdjela
tarulj,drveni tanjur za palentu
tarulj,drveni tanjur za palentu
tati,lopovi
tavaja,stolnjak
tavajol,stolnjak
"tavalun, tavalon",debela daska
tavijol,ubrus
tavola,stol
te,čaj
teć,trčati
teču,trče
tega,toga
tela,gomilano platno
teleferika,žičara
telefonat,telefonirati
televizija,televizor
tellin,tijelom
telo,tijelo
tendit,pokazivati razumjevanje
teplina,vrućina
teplo,toplo
teplo,toplo
tesera,dozvola
tesla,sjekira za tesanje
testament,oporuka
tić,ptičica
tić,ptica
tikat,dirati
timun,volan
timunjer,kormilar
tina,bačva širokog otvora u kojoj se masti grožđe
tinj,predgradni zid
tir,"udarac, pucanj, hitac"
tira,tjera
tirada,odjendnom izručena količina
tirada,paljba
tirat,tjerati
tišljar,"stolar, drvodjelac"
toporišće,"drška, držalo"
torkul,ručna preša za grožđe
torkula,vrsta masline
tornakamin,"zavjesa na napi, ukras"
tornica,okruglo ili četvrtasto udubljenje u kući u kojem je smješteno ognjište
tošar,radnik u uljari
tovar,magarac
tovar,magarac
tovor,količina
trabakul,"teretno, obalni jedrenjak s dva jarbola"
tradit,iznevjeriti
tramontana,"vrsta vjetra, sjeverac"
trapan,bušilica
trapula,zamka
traškuran,zanemaren
traškuranca,nemarnost
traversa,pregača
treba,potrebno je
trefit,sresti
trenini,rugančići
treska,pljuska
treviti,"pogoditi, udariti, sresti, naići na nekoga, naletiti"
trgatva,berba grožđa
trieštinka,vrsta harmonike
trinketina,ljetnjača u pomorstvu
trliš,radno odjelo
trliš,radno odijelo
trubilo,"blesav, glupan"
trubna,usna
trudan,umoran
trudan,umoran
trudna,umorna
trumbeta,truba
trupit,udariti
tubo,cijev
tuje,tuđe
tuji,tuđi
tunbin,rupa ispod ceste
turan,zvonik
turkinja,kukuruz
tuži,žali
udičarenje,ribolov povrazom (udicom)
uganjat,pogađati
ugjedat,ugledati
ugnjen,"ugljen, žar, žeravica"
uharica,drvena posuda s jednom drškom
uje,ulje
ujeni,uljeni
uličina,odsječene maslinove grane
ulika,maslina
umejak,"veće, neravno, suhozidom ograđeno zemljište za ispašu ovaca i koza"
umidanca,vlaga
umret,umrijeti
umret,preminuti
un,on
unput,onomad
unput,onda
ura,sat
ušćap,uštap
ušćap,pun mjesec
uška,učka
ustal,ostalo
usten,u ustima
utornjak,alatka kojom se prave utori na bačvama
uzal,čvor
užanca,običaj
užanci,običaji
užat,običavati
užetar,čovjek koji radi s užetom
uzlanka,"lako stegnuti čvor, na cipelama"
va,u
va se,u sebe
va tele,u tijelu
vadit,učiti
vagoncini,vagončići
vajat se,valjati-dobro
vajer,uvis
valda,valjda
valiža,"kufer,kovčeg"
vamo,ovamo
vapil,vikao
vapit,vikati
vapor,putnički brod
variti,kuhati
vas,sav
vavek,uvijek
Vazam,Uskrs
vazanj,uskrs
vejar,prostorija u koju se sprema suho lišće za staju
veje,lišće
veli,velik
velo,veliko
vengo,nego
vesel,veseo
vešta,haljina
vešta,haljina
veštid,odijelo
vetar,vjetar
vetura,automobil
vida,vijak
videt,vidjeti
videt,vidjeti
vidrijol,modra galica
vijaj,putovanje
vijolica,ljubičica
vikleri,uvijači za kosu
vilan,seljak
vinć,vitlo
viš,vidiš
višta,vidik
vitrina,stakleni kuhinjski ormar
vlah,pripadnik rumunjske manjine u Istri
vlasi,kosa
vlih,malo prije
vnuk,unuk
vnuki,unuci
voja,volja
volet,voljeti
voli,volovi
vrajža,vražja
vranić,"vragolan,vražić"
vratnica,"prozorski kapac,škura,rebrenica"
vrčina,noćna posuda
vredan,vrijedan
vret,"kuhati,kipiti"
vrh,vršić
vrime,vrijeme
vritnjak,udarac nogom
vrnjevat se,"vraćati se,vratiti se"
vrnut se,doći opet
vrtet,okretati
vrtet,vrtjeti
vruja,"vrulja,podmorski izvor slatke vode"
zač,zašto
zajno,zajedno
zajno,skupa
zajno,u društvu
zapačan,zaokupljen
zdolun,prema dolje
zet,uzeti
zgorun,prema gore
zgubit,izgubiti
zibat,ljuljati
zijat,vikati
znet,izvaditi
zrcalo,ogledalo
zvental,izmislio
zvizda,zvijezda
žal,žao
žbaljala,pogriješila
žbica,dio grane
žbice,tanke grančice
žbokat,žbukati
žejna,žedna
železnica,željeznica
železo,željezo
ženska,žena
žep,džep
žerava,"žar, izgorjeli pregrijani komadi drveta koji se koriste samo za toplinu i održavanje ognja"
žeš,kreda
žilavica,sadnica
žimeć,zatvorenih očiju
živa voda,vodovod
živjenje,življenje
živjenje,život
žlebac,crijep
žlitat,sanjkati
žmi,žmiriti
žmuj,čaša
žoki,opanci
žufko,gorko
žuji,žuljevi
žukva,brnistra
žurnada,dnevnica
žvejarin,budilica
žvelt,hitar
žvelt,brz
žvelto,brzo
